Type,Rating,Coeff,Size ,One,Two,Three,Four,Five,Six,Seven,Eight,Nine
1,0,3,24,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
1,0,0,30,1230,2161,3400,5568,8972,14541,21660,30337,30640
1,0,1,30,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,0,2,30,0.77,0.79,0.81,0.81,0.78,0.73,0.68,0.6,0.52
1,0,3,30,0.5,0.53,0.55,0.55,0.51,0.45,0.39,0.3,0.23
0,1,0,3,4,24,53,82,110,134,151,155,147
0,1,1,3,0.71,0.75,0.77,0.81,0.79,0.71,0.62,0.49,0.59
0,1,2,3,0.37,0.542,0.433,0.411,0.464,0.469,0.397,0.346,0.286
0,1,3,3,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,0,4,10,51,101,152,206,258,304,321,304
0,1,1,4,0.74,0.8,0.82,0.8,0.77,0.69,0.57,0.51,0.55
0,1,2,4,0.455,0.499,0.416,0.395,0.41,0.363,0.292,0.235,0.21
0,1,3,4,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,0,6,34,115,201,309,452,601,750,882,836
0,1,1,6,0.78,0.81,0.79,0.8,0.74,0.68,0.59,0.58,0.57
0,1,2,6,0.42,0.433,0.434,0.369,0.36,0.299,0.282,0.214,0.205
0,1,3,6,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,0,8,89,222,377,578,833,1151,1513,1764,1825
0,1,1,8,0.8,0.83,0.83,0.8,0.74,0.66,0.58,0.5,0.48
0,1,2,8,0.405,0.454,0.542,0.451,0.346,0.269,0.239,0.206,0.173
0,1,3,8,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,0,10,140,357,603,930,1398,1944,2670,3157,3421
0,1,1,10,0.8,0.83,0.83,0.8,0.74,0.66,0.58,0.5,0.48
0,1,2,10,0.505,0.714,0.672,0.557,0.465,0.339,0.243,0.187,0.155
0,1,3,10,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,0,12,189,481,798,1254,1875,2704,3751,4649,4855
0,1,1,12,0.8,0.86,0.87,0.8,0.75,0.66,0.55,0.5,0.48
0,1,2,12,0.451,0.636,0.595,0.494,0.414,0.303,0.217,0.167,0.138
0,1,3,12,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,0,14,164,429,784,1347,2150,3204,4494,5716,6445
0,1,1,14,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,2,14,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
0,1,3,14,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,1,0,16,314,750,1299,2077,3169,4638,6524,8213,8939
0,1,1,16,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,2,16,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
0,1,3,16,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,1,0,18,370,920,1595,2559,3913,5742,7994,10022,10794
0,1,1,18,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,2,18,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
0,1,3,18,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,1,0,20,535,1133,1940,3122,4820,7044,9397,11281,13336
0,1,1,20,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,2,20,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
0,1,3,20,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,1,0,24,762,1556,2676,4372,6874,10292,14771,19421,21456
0,1,1,24,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,2,24,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
0,1,3,24,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
0,1,0,30,1050,1769,2789,4565,7354,11915,117756,24871,25371
0,1,1,30,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
0,1,2,30,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
0,1,3,30,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
1,1,0,3,18,35,57,87,114,134,146,150,144
1,1,1,3,0.71,0.75,0.77,0.81,0.79,0.71,0.62,0.49,0.59
1,1,2,3,0.37,0.542,0.433,0.411,0.464,0.469,0.397,0.346,0.286
1,1,3,3,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,0,4,25,51,89,146,210,266,316,333,316
1,1,1,4,0.74,0.8,0.82,0.8,0.77,0.69,0.57,0.51,0.55
1,1,2,4,0.455,0.499,0.416,0.395,0.41,0.363,0.292,0.235,0.21
1,1,3,4,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,0,6,56,126,204,306,425,556,671,717,698
1,1,1,6,0.78,0.81,0.79,0.8,0.74,0.68,0.59,0.58,0.57
1,1,2,6,0.42,0.433,0.434,0.369,0.36,0.299,0.282,0.214,0.205
1,1,3,6,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,0,8,113,217,350,542,782,1072,1364,1533,1529
1,1,1,8,0.8,0.83,0.83,0.8,0.74,0.66,0.58,0.5,0.48
1,1,2,8,0.405,0.454,0.542,0.451,0.346,0.269,0.239,0.206,0.173
1,1,3,8,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,0,10,159,318,533,827,1234,1762,2340,2753,2811
1,1,1,10,0.8,0.83,0.83,0.8,0.74,0.66,0.58,0.5,0.48
1,1,2,10,0.505,0.714,0.672,0.557,0.465,0.339,0.243,0.187,0.155
1,1,3,10,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,0,12,217,433,721,1133,1723,2518,3441,4123,4210
1,1,1,12,0.8,0.86,0.87,0.8,0.75,0.66,0.55,0.5,0.48
1,1,2,12,0.451,0.636,0.595,0.494,0.414,0.303,0.217,0.167,0.138
1,1,3,12,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,0,14,215,480,855,1401,2182,3170,4332,5198,5296
1,1,1,14,0.09,0.17,0.26,0.34,0.42,0.49,0.57,0.64,0.7
1,1,2,14,0.78,0.81,0.81,0.79,0.75,0.69,0.62,0.56,0.52
1,1,3,14,0.51,0.55,0.55,0.53,0.47,0.4,0.33,0.26,0.23
