Trim Type,Flow,Charac,Size,Coeff,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten
2,0,1,12,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,1,12,2,1,1,1,1,1,1,1,1,1,1
2,0,1,12,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,1,14,0,136.119234,190.9947472,267.629455,374.0217913,520.0491997,716.1712015,1147.809014,1482.605694,1730.422205,1910.736002
2,0,1,14,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,1,14,2,1,1,1,1,1,1,1,1,1,1
2,0,1,14,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,1,16,0,156.5293314,219.7089916,308.0737205,431.1123814,600.9492613,831.5099256,1354.22283,1781.315251,2114.759111,2369.197926
2,0,1,16,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,1,16,2,1,1,1,1,1,1,1,1,1,1
2,0,1,16,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,1,18,0,235.7552905,330.7778625,463.4428536,647.5253813,899.929812,1238.277948,1979.114407,2548.7133,2966.698108,3268.57639
2,0,1,18,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,1,18,2,1,1,1,1,1,1,1,1,1,1
2,0,1,18,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,1,20,0,295.8495043,415.223093,582.1126352,814.2999708,1134.296732,1567.410309,2541.16389,3325.015289,3927.492649,4380.698648
2,0,1,20,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,1,20,2,1,1,1,1,1,1,1,1,1,1
2,0,1,20,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,1,24,0,434.9325235,610.0821546,854.3498921,1192.572772,1654.447585,2268.915391,3587.399033,4567.360235,5263.492873,5752.758683
2,0,1,24,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
2,0,1,24,2,1,1,1,1,1,1,1,1,1,1
2,0,1,24,3,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA,TBA
2,0,0,2,0,19,28,38,45,51,60,65,68,69,69
2,0,0,2,1,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
2,0,0,2,2,1,1,1,1,1,1,1,1,1,1
2,0,0,2,3,0.618,0.635,0.689,0.71,0.723,0.732,0.742,0.759,0.761,0.762
2,0,0,3,0,72.8879576,106.1883003,119.3100619,125.1978339,128.2351335,129.9805493,131.0680623,131.7886828,132.289662,132.6515349
2,0,0,3,1,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
2,0,0,3,2,1,1,1,1,1,1,1,1,1,1
2,0,0,3,3,0.607,0.631,0.663,0.694,0.72,0.742,0.762,0.786,0.771,0.751
2,0,0,4,0,81.89432221,140.9184886,176.5811928,197.3704218,209.8500115,217.705624,222.8911599,226.4619881,229.0117043,230.8892576
2,0,0,4,1,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89,0.89
2,0,0,4,2,1,1,1,1,1,1,1,1,1,1
2,0,0,4,3,0.553,0.619,0.644,0.68,0.713,0.737,0.743,0.823,0.816,0.791
2,0,0,6,0,89.41648885,171.9954254,243.237052,301.696814,348.1891888,384.5858026,412.9478116,435.106133,452.5365538,466.3733257
2,0,0,6,1,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
2,0,0,6,2,1,1,1,1,1,1,1,1,1,1
2,0,0,6,3,0.597,0.683,0.701,0.687,0.767,0.791,0.787,0.792,0.794,0.745
2,0,0,8,0,121.0951216,236.1745211,340.6099054,431.8703386,509.4087089,574.0630262,627.3897796,671.1620013,707.0756347,736.6163891
2,0,0,8,1,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
2,0,0,8,2,1,1,1,1,1,1,1,1,1,1
2,0,0,8,3,0.758,0.588,0.597,0.637,0.64,0.676,0.702,0.72,0.738,0.757
2,0,0,10,0,130.8740583,257.5325146,376.4063951,485.003278,582.0245455,667.2188473,741.097722,804.6332137,859.0087246,905.4459783
2,0,0,10,1,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
